World,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Difficulty
Blockchain Hash Hunt,34,What is a dApp?,A phone app.,Decentralized application running on blockchain.,A mining tool.,A wallet type.,B,easy
Blockchain Hash Hunt,35,What is tokenization?,Creating physical tokens.,Representing real-world assets as digital tokens on blockchain.,A mining process.,A consensus mechanism.,B,easy
Blockchain Hash Hunt,36,What is an altcoin?,Alternative coin.,Any cryptocurrency other than Bitcoin.,A mining algorithm.,A wallet type.,B,easy
Blockchain Hash Hunt,37,What is a blockchain explorer?,A person exploring.,A tool to view and search blockchain transactions and blocks.,A mining tool.,A wallet type.,B,easy
Blockchain Hash Hunt,38,What is finality in blockchain?,The end of blockchain.,Assurance that transaction cannot be reversed or altered.,A mining reward.,A consensus type.,B,hard
Blockchain Hash Hunt,39,What is sharding?,Breaking glass.,Splitting blockchain into smaller pieces for scalability.,A mining technique.,A wallet type.,B,hard
Blockchain Hash Hunt,40,What is a sidechain?,A chain on the side.,A separate blockchain connected to main chain for specific purposes.,A mining algorithm.,A wallet type.,B,hard
Blockchain Hash Hunt,41,What is cross-chain?,Angry chain.,Technology enabling interaction between different blockchains.,A mining tool.,A consensus type.,B,hard
Blockchain Hash Hunt,42,What is a validator?,A person who validates.,A node that verifies transactions in Proof of Stake.,A miner.,A wallet.,B,easy
Blockchain Hash Hunt,43,What is slashing in PoS?,Cutting prices.,Penalty for validators who act maliciously or fail duties.,A reward system.,A mining technique.,B,hard
Blockchain Hash Hunt,44,What is staking?,Placing stakes.,Locking cryptocurrency to support network and earn rewards.,A mining process.,A transaction type.,B,easy
Blockchain Hash Hunt,45,What is a block reward?,A physical reward.,Cryptocurrency given to miner/validator for adding block.,A transaction fee.,A penalty.,B,easy
Blockchain Hash Hunt,46,What is halving?,Cutting in half.,Reduction of block reward by 50% at intervals (Bitcoin).,A fork type.,A consensus change.,B,hard
Blockchain Hash Hunt,47,What is difficulty adjustment?,Making things difficult.,Automatic adjustment of mining difficulty to maintain block time.,A reward change.,A fork type.,B,hard
Blockchain Hash Hunt,48,What is a mempool?,A swimming pool.,Waiting area for unconfirmed transactions.,A mining pool.,A wallet type.,B,easy
Blockchain Hash Hunt,49,What is a mining pool?,A water pool.,Group of miners combining resources to increase chances.,A single miner.,A wallet type.,B,easy
Blockchain Hash Hunt,50,What is Byzantine Fault Tolerance?,Tolerance for faults.,System's ability to reach consensus despite malicious actors.,A mining algorithm.,A wallet type.,B,hard
Data Cleaning Ninja,1,You see two rows with identical user_id; email; and signup_date.,Keep both rows.,Drop one as a duplicate record.,Randomly modify one of the emails.,Delete the entire table.,B,easy
Data Cleaning Ninja,2,"Dates are in mixed formats: 2025-01-10, 10/01/2025, Jan 10 2025.",Leave them as-is.,"Convert all into a single canonical format (e.g., ISO 8601).",Store them as free text forever.,Replace with current timestamp.,B,hard
Data Cleaning Ninja,3,"You find 'N/A', 'null', 'NULL', and empty strings all meaning missing data.",Leave them for variety.,"Standardize all to a single representation (e.g., NULL).",Delete the entire dataset.,Convert all to zero.,B,easy
Data Cleaning Ninja,4,A numeric column has values like '$1;234.56' with currency symbols.,Leave as-is.,Remove currency symbols and convert to numeric type.,Delete the column.,Convert to text.,B,easy
Data Cleaning Ninja,5,You find email addresses with leading/trailing spaces.,Keep the spaces.,Trim whitespace from all string fields.,Delete the emails.,Add more spaces.,B,easy
Data Cleaning Ninja,6,Phone numbers are in different formats: (123)456-7890 vs 1234567890.,Keep all formats.,Standardize to one format.,Delete phone numbers.,Randomize formats.,B,easy
Data Cleaning Ninja,7,You find outliers: ages of 0; 150; and 999.,Keep all values.,Investigate and handle based on context (cap/remove/impute).,Delete all ages.,Set all to average.,B,easy
Data Cleaning Ninja,8,Column names have spaces and special characters.,Keep them.,Rename to snake_case or camelCase without special chars.,Delete columns.,Add more special characters.,B,easy
Data Cleaning Ninja,9,You find duplicate column names.,Keep duplicates.,Rename to make unique.,Delete all duplicates.,Merge columns.,B,easy
Data Cleaning Ninja,10,Text fields have inconsistent casing: 'USA' vs 'usa' vs 'Usa'.,Keep variety.,Standardize casing (all upper or all lower).,Delete the field.,Randomize casing.,B,easy
Data Cleaning Ninja,11,You find negative values in a 'quantity sold' column.,Keep negatives.,Investigate; may indicate returns or data errors.,Delete all negatives.,Convert to positive.,B,easy
Data Cleaning Ninja,12,Categorical field has typos: 'Californa' vs 'California'.,Keep typos.,Fix typos and standardize categories.,Delete the field.,Add more typos.,B,easy
Data Cleaning Ninja,13,You find future dates in historical data.,Keep them.,Flag as errors and investigate source.,Delete all dates.,Change to past dates.,B,hard
Data Cleaning Ninja,14,Numeric IDs are stored as strings.,Keep as strings.,Convert to appropriate numeric type.,Delete IDs.,Add letters to IDs.,B,easy
Data Cleaning Ninja,15,You find records with all fields empty except ID.,Keep empty records.,Remove records with insufficient data.,Fill with random data.,Duplicate other records.,B,easy
Data Cleaning Ninja,16,Boolean field has values: true; false; 1; 0; yes; no; Y; N.,Keep variety.,Standardize to consistent boolean representation.,Delete the field.,Add more variations.,B,easy
Data Cleaning Ninja,17,You find impossible combinations: Male + Pregnant = Yes.,Keep the data.,Flag as data quality issue and investigate.,Delete all records.,Ignore the issue.,B,hard
Data Cleaning Ninja,18,Timestamps are in different timezones.,Keep mixed timezones.,Convert all to UTC or single timezone.,Delete timestamps.,Randomize timezones.,B,easy
Data Cleaning Ninja,19,You find special characters in numeric fields: '1;234' or '1 234'.,Keep them.,Remove separators and convert to numeric.,Delete the field.,Add more characters.,B,easy
Data Cleaning Ninja,20,Column has 95% missing values.,Keep the column.,Consider dropping column or investigating why data is missing.,Fill with zeros.,Duplicate other columns.,B,hard
Data Cleaning Ninja,21,You find encoded values without documentation: A; B; C.,Keep as-is.,Document or decode values; or flag for clarification.,Delete the column.,Add more codes.,B,hard
Data Cleaning Ninja,22,Text fields have HTML tags: <b>text</b>.,Keep HTML.,Strip HTML tags to get clean text.,Delete the field.,Add more HTML.,B,easy
Data Cleaning Ninja,23,You find negative ages or ages over 120.,Keep all ages.,Cap at reasonable range or flag as errors.,Delete all ages.,Set to average.,B,easy
Data Cleaning Ninja,24,Decimal values have inconsistent precision: 1.2 vs 1.234567.,Keep variety.,Standardize to consistent decimal places.,Delete the field.,Randomize precision.,B,easy
Data Cleaning Ninja,25,You find placeholder values: 'TBD'; 'N/A'; 'Unknown'.,Keep placeholders.,Convert to NULL or standard missing value indicator.,Delete records.,Add more placeholders.,B,easy
Data Cleaning Ninja,26,Column has mixed data types: numbers and text.,Keep mixed.,Separate into appropriate columns or standardize type.,Delete the column.,Add more variety.,B,hard
Data Cleaning Ninja,27,You find leading zeros in numeric codes: 00123.,Keep leading zeros.,Preserve as string if meaningful; else convert to number.,Delete the field.,Remove all zeros.,B,hard
Data Cleaning Ninja,28,Text has multiple spaces between words.,Keep spaces.,Normalize to single space between words.,Delete the text.,Add more spaces.,B,easy
Data Cleaning Ninja,29,You find records from year 1900 in recent data.,Keep old dates.,Investigate if data error or legitimate historical data.,Delete all old dates.,Change to current year.,B,hard
Data Cleaning Ninja,30,Column has percentage values: some with % symbol; some without.,Keep variety.,Standardize format and convert to decimal.,Delete the column.,Add % to all.,B,easy
Data Cleaning Ninja,31,You find non-ASCII characters in text fields.,Keep them.,Decide to keep/remove based on requirements; handle encoding.,Delete all text.,Convert to ASCII only.,B,easy
Data Cleaning Ninja,32,Numeric field has comma as decimal separator: 1;234.,Keep as-is.,Convert to standard decimal point notation.,Delete the field.,Add more commas.,B,easy
Data Cleaning Ninja,33,You find records with creation_date after last_modified_date.,Keep them.,Flag as logical inconsistency and investigate.,Delete records.,Swap the dates.,B,hard
Data Cleaning Ninja,34,Column has mixed units: some in kg; some in lbs.,Keep mixed units.,Convert all to single unit system.,Delete the column.,Add more units.,B,hard
Data Cleaning Ninja,35,You find exact duplicate rows (all fields identical).,Keep duplicates.,Remove duplicate rows; keep one.,Delete all.,Modify one field.,B,easy
Data Cleaning Ninja,36,Text fields have line breaks and tabs.,Keep them.,Normalize whitespace or preserve based on requirements.,Delete the text.,Add more breaks.,B,easy
Data Cleaning Ninja,37,You find negative prices in sales data.,Keep negatives.,Investigate; may indicate refunds or errors.,Delete all prices.,Convert to positive.,B,easy
Data Cleaning Ninja,38,Column has scientific notation: 1.23E+05.,Keep notation.,Convert to standard decimal format if needed.,Delete the column.,Add more notation.,B,easy
Data Cleaning Ninja,39,You find inconsistent abbreviations: 'St' vs 'Street' vs 'st'.,Keep variety.,Standardize abbreviations.,Delete addresses.,Add more variations.,B,easy
Data Cleaning Ninja,40,Categorical field has too many unique values (high cardinality).,Keep all values.,Group into broader categories or use encoding techniques.,Delete the field.,Add more values.,B,hard
Data Cleaning Ninja,41,You find records with end_date before start_date.,Keep them.,Flag as logical error and investigate.,Delete records.,Swap the dates.,B,hard
Data Cleaning Ninja,42,Column has mixed case in codes: 'ABC123' vs 'abc123'.,Keep mixed case.,Standardize to upper or lower case.,Delete the column.,Randomize case.,B,easy
Data Cleaning Ninja,43,You find ZIP codes with and without leading zeros: 01234 vs 1234.,Keep variety.,Preserve as string with leading zeros.,Delete ZIP codes.,Remove all zeros.,B,hard
Data Cleaning Ninja,44,Text has URLs and email addresses mixed with content.,Keep mixed.,Extract URLs/emails to separate fields or remove.,Delete all text.,Add more URLs.,B,easy
Data Cleaning Ninja,45,You find records with impossible dates: Feb 30.,Keep them.,Flag as invalid and investigate source.,Delete all dates.,Change to valid date.,B,hard
Data Cleaning Ninja,46,Column has values in different languages.,Keep mixed languages.,Standardize to one language or separate by language.,Delete the column.,Add more languages.,B,hard
Data Cleaning Ninja,47,You find negative durations or time values.,Keep negatives.,Investigate and correct based on context.,Delete all times.,Convert to positive.,B,easy
Data Cleaning Ninja,48,Numeric field has values like 'N/A' mixed with numbers.,Keep mixed.,Separate text and numeric; convert N/A to NULL.,Delete the field.,Convert N/A to zero.,B,easy
Data Cleaning Ninja,49,You find records with all caps text: 'JOHN SMITH'.,Keep all caps.,Convert to proper case based on requirements.,Delete the text.,Add more caps.,B,easy
Data Cleaning Ninja,50,Column has inconsistent null representations across rows.,Keep variety.,Standardize all null representations to single format.,Delete the column.,Add more variations.,B,easy
Schema Validator Lab,1,"Schema requires user_id (INT, NOT NULL, PK). You see rows with NULL user_id. What's the issue?","No issue, PKs can be NULL.",Violation of PK and NOT NULL constraint.,Just a formatting concern.,Only a performance warning.,B,easy
Schema Validator Lab,2,"Your app reads column created_at, but the DB schema changed it to created_timestamp. What is this called?",Schema drift / breaking change.,Data cleaning.,Index optimization.,Query normalization.,A,hard
Schema Validator Lab,3,A foreign key references a non-existent primary key. What's the issue?,"No issue, foreign keys are optional.",Referential integrity violation - data inconsistency.,Just a warning; not an error.,The database will auto-create the missing key.,B,hard
Schema Validator Lab,4,Column defined as VARCHAR(10) receives 50-character string. What happens?,Stored completely.,Truncated or error depending on database settings.,Automatically expands.,Converts to number.,B,easy
Schema Validator Lab,5,Schema expects NOT NULL but application sends NULL. What's the issue?,No problem.,Constraint violation - insert/update will fail.,Just a warning.,Database fills with default.,B,easy
Schema Validator Lab,6,You add a new required column without default value. What happens to existing rows?,No issue.,Existing rows violate NOT NULL; migration fails or needs default.,Automatically filled.,Rows deleted.,B,hard
Schema Validator Lab,7,Schema has UNIQUE constraint but duplicate values inserted. What happens?,Both stored.,Constraint violation - second insert fails.,First one deleted.,Both merged.,B,easy
Schema Validator Lab,8,Column type changed from INT to VARCHAR. What's the risk?,No risk.,Data type mismatch; queries may break; performance impact.,Faster queries.,Better storage.,B,hard
Schema Validator Lab,9,Schema has CHECK constraint (age > 0) but negative value inserted. What happens?,Value stored.,Constraint violation - insert fails.,Value converted to positive.,Constraint ignored.,B,easy
Schema Validator Lab,10,You drop a column that application code still references. What happens?,No issue.,Runtime errors when code tries to access missing column.,Column recreated.,Code auto-updates.,B,easy
Schema Validator Lab,11,Schema has index on column but queries don't use it. What's the issue?,Index is broken.,Query not optimized; may need query rewrite or different index.,Index is perfect.,No issue.,B,hard
Schema Validator Lab,12,Two tables have circular foreign key dependencies. What's the risk?,No risk.,Complex to maintain; can cause insertion/deletion issues.,Faster queries.,Better integrity.,B,hard
Schema Validator Lab,13,Schema allows NULL in foreign key column. Is this valid?,Never valid.,Valid; NULL means no relationship.,Always invalid.,Depends on moon phase.,B,easy
Schema Validator Lab,14,Column has DEFAULT value but application always provides value. What happens?,Error occurs.,Default never used; no issue but redundant.,Default overrides application.,Database crashes.,B,easy
Schema Validator Lab,15,Schema has composite primary key but application treats single column as PK. What's the risk?,No risk.,Data integrity issues; duplicates possible.,Faster queries.,Better performance.,B,hard
Schema Validator Lab,16,You rename a table without updating application code. What happens?,No issue.,Application errors when trying to access old table name.,Table auto-renames back.,Code auto-updates.,B,easy
Schema Validator Lab,17,Schema has ON DELETE CASCADE but application expects manual deletion. What's the risk?,No risk.,Unexpected data deletion when parent record deleted.,Faster deletions.,Better integrity.,B,hard
Schema Validator Lab,18,Column precision changed from DECIMAL(10;2) to DECIMAL(10;4). What's the impact?,No impact.,More precision stored; existing data unchanged; queries may need update.,Data corrupted.,Performance worse.,B,easy
Schema Validator Lab,19,Schema has trigger but application doesn't account for it. What's the risk?,No risk.,Unexpected side effects; data changes application doesn't expect.,Faster operations.,Better data.,B,hard
Schema Validator Lab,20,You add index on large text column. What's the consideration?,Always good.,May impact write performance; consider partial index.,Always bad.,No impact.,B,hard
Schema Validator Lab,21,Schema has ENUM type but application sends value not in list. What happens?,Value stored.,Insert fails with constraint violation.,Value converted.,ENUM expands.,B,easy
Schema Validator Lab,22,Two schemas (dev and prod) are out of sync. What's the risk?,No risk.,Code works in dev but fails in prod; deployment issues.,Faster development.,Better testing.,B,hard
Schema Validator Lab,23,Schema has auto-increment PK but application manually sets values. What's the risk?,No risk.,Sequence conflicts; duplicate key errors possible.,Faster inserts.,Better control.,B,hard
Schema Validator Lab,24,Column has index but low cardinality (few unique values). What's the impact?,Always beneficial.,Index may not be used; limited benefit.,Always harmful.,No impact.,B,hard
Schema Validator Lab,25,Schema allows very long VARCHAR but typical data is short. What's the consideration?,Perfect design.,May waste space; consider appropriate length.,Always wrong.,No impact.,B,easy
Schema Validator Lab,26,You change column from NULL to NOT NULL without data migration. What happens?,No issue.,Existing NULL rows cause constraint violation.,NULLs auto-convert.,Column unchanged.,B,easy
Schema Validator Lab,27,Schema has many-to-many relationship without junction table. What's the issue?,No issue.,Cannot properly model relationship; data integrity problems.,Faster queries.,Simpler design.,B,easy
Schema Validator Lab,28,Column stores JSON but schema doesn't validate structure. What's the risk?,No risk.,Invalid JSON stored; application errors when parsing.,Faster storage.,Better flexibility.,B,hard
Schema Validator Lab,29,Schema has timestamp without timezone info. What's the risk?,No risk.,Ambiguity in multi-timezone applications; data interpretation issues.,Faster queries.,Smaller storage.,B,hard
Schema Validator Lab,30,You add column with same name as reserved keyword. What happens?,No issue.,May require quoting in queries; potential syntax errors.,Auto-renamed.,Database crashes.,B,easy
Schema Validator Lab,31,Schema has no primary key on table. What's the issue?,Perfectly fine.,Cannot uniquely identify rows; update/delete ambiguity.,Faster inserts.,Smaller storage.,B,easy
Schema Validator Lab,32,Column stores currency but uses FLOAT type. What's the risk?,Perfect choice.,Precision errors in calculations; use DECIMAL instead.,Faster calculations.,Smaller storage.,B,hard
Schema Validator Lab,33,Schema has redundant data (denormalization) without update strategy. What's the risk?,No risk.,Data inconsistency when updates miss some copies.,Faster queries always.,Simpler design.,B,hard
Schema Validator Lab,34,You change column order in schema. Does it affect application?,Always breaks application.,Usually no impact unless using SELECT * or positional access.,Never affects anything.,Always improves performance.,B,easy
Schema Validator Lab,35,Schema has view but underlying table structure changed. What happens?,View auto-updates.,View may break or return incorrect results.,No impact.,View deleted.,B,hard
Schema Validator Lab,36,Column has CHECK constraint but database doesn't enforce it. What's the risk?,No risk.,Invalid data can be inserted; data integrity compromised.,Faster inserts.,Better performance.,B,hard
Schema Validator Lab,37,Schema uses CHAR instead of VARCHAR for variable-length data. What's the impact?,Perfect choice.,Wasted space with padding; consider VARCHAR.,Always better.,No difference.,B,easy
Schema Validator Lab,38,You add NOT NULL constraint to column with existing NULLs. What happens?,Constraint added successfully.,Constraint addition fails; must handle NULLs first.,NULLs auto-convert.,Column deleted.,B,easy
Schema Validator Lab,39,Schema has cascading foreign keys creating circular dependency. What's the risk?,No risk.,Deletion/update operations may fail or cause unexpected cascades.,Faster operations.,Better integrity.,B,hard
Schema Validator Lab,40,Column stores dates as strings (YYYY-MM-DD). What's the issue?,Perfect design.,Cannot use date functions; sorting issues; use DATE type.,Faster storage.,More flexible.,B,easy
Schema Validator Lab,41,Schema has index on every column. What's the impact?,Always beneficial.,Slower writes; wasted space; only index what's needed.,Always harmful.,No impact.,B,easy
Schema Validator Lab,42,You change column from UNIQUE to non-unique. What's the impact on existing data?,Data deleted.,No impact on existing data; future duplicates allowed.,Data duplicated.,Constraint remains.,B,easy
Schema Validator Lab,43,Schema has no foreign key constraints but application assumes relationships. What's the risk?,No risk.,Orphaned records; referential integrity not enforced.,Faster operations.,Simpler design.,B,hard
Schema Validator Lab,44,Column defined as BOOLEAN but stores 0/1/NULL. Is this valid?,Invalid always.,Valid in most databases; NULL means unknown.,Valid only with NULL.,Never valid.,B,easy
Schema Validator Lab,45,Schema has materialized view but refresh strategy undefined. What's the risk?,No risk.,Stale data; queries return outdated results.,Faster queries always.,Better performance.,B,hard
Schema Validator Lab,46,You add column with default value. Do existing rows get the default?,Yes always.,Depends on database; usually only new rows.,No never.,Rows deleted.,B,hard
Schema Validator Lab,47,Schema has TEXT column with index. What's the consideration?,Always good.,May need prefix index; full-text index for search.,Always bad.,No impact.,B,hard
Schema Validator Lab,48,Column stores boolean as VARCHAR ('true'/'false'). What's the issue?,Perfect design.,Inefficient storage; use BOOLEAN type; validation issues.,Faster queries.,More flexible.,B,easy
Schema Validator Lab,49,Schema has multiple nullable columns in composite key. What's the consideration?,No issue.,NULL handling in keys is complex; consider design.,Always invalid.,Always valid.,B,hard
Schema Validator Lab,50,You change column collation. What's the impact?,No impact.,Affects sorting and comparison; may break queries/indexes.,Always breaks everything.,Always improves performance.,B,hard
Query Optimizer Race,1,"Table orders has an index on customer_id. Which query is likely faster?",SELECT * FROM orders WHERE customer_id = 42;,SELECT * FROM orders WHERE amount + 10 > 1000;,A,A,easy
Query Optimizer Race,2,"You're joining large orders with small customers. Which join order is typically better?",SELECT * FROM orders o JOIN customers c ON o.customer_id = c.id;,SELECT * FROM customers c JOIN orders o ON o.customer_id = c.id;,A,A,hard
Query Optimizer Race,3,Which query avoids full table scan?,SELECT * FROM users WHERE UPPER(email) = 'TEST@EXAMPLE.COM';,SELECT * FROM users WHERE email = 'test@example.com';,B,B,easy
Query Optimizer Race,4,Which query is more efficient for counting?,SELECT COUNT(*) FROM orders;,SELECT COUNT(order_id) FROM orders;,A,A,easy
Query Optimizer Race,5,Which query benefits from index on status?,SELECT * FROM orders WHERE status = 'pending';,SELECT * FROM orders WHERE status LIKE '%pending%';,A,A,easy
Query Optimizer Race,6,Which query is faster for pagination?,SELECT * FROM products LIMIT 10 OFFSET 1000000;,SELECT * FROM products WHERE id > last_seen_id LIMIT 10;,B,B,hard
Query Optimizer Race,7,Which query avoids sorting?,SELECT * FROM orders ORDER BY created_at;,SELECT * FROM orders;,B,B,easy
Query Optimizer Race,8,Which query is more efficient?,SELECT * FROM orders WHERE order_date >= '2024-01-01' AND order_date < '2024-02-01';,SELECT * FROM orders WHERE MONTH(order_date) = 1 AND YEAR(order_date) = 2024;,A,A,hard
Query Optimizer Race,9,Which query uses index better?,SELECT * FROM products WHERE price BETWEEN 10 AND 20;,SELECT * FROM products WHERE price >= 10 AND price <= 20;,A,A,easy
Query Optimizer Race,10,Which JOIN type is typically fastest?,INNER JOIN,CROSS JOIN,A,A,easy
Query Optimizer Race,11,Which query avoids filesort?,SELECT * FROM orders WHERE status = 'pending' ORDER BY id;,SELECT * FROM orders WHERE status = 'pending' ORDER BY created_at;,A,A,hard
Query Optimizer Race,12,Which query is more efficient for EXISTS check?,SELECT * FROM orders WHERE customer_id IN (SELECT id FROM customers);,SELECT * FROM orders WHERE EXISTS (SELECT 1 FROM customers WHERE id = orders.customer_id);,B,B,hard
Query Optimizer Race,13,Which query benefits from covering index?,SELECT id; name FROM products WHERE category = 'electronics';,SELECT * FROM products WHERE category = 'electronics';,A,A,hard
Query Optimizer Race,14,Which query is faster for distinct values?,SELECT DISTINCT category FROM products;,SELECT category FROM products GROUP BY category;,A,A,easy
Query Optimizer Race,15,Which query avoids table scan?,SELECT * FROM orders WHERE id = 123;,SELECT * FROM orders WHERE id != 123;,A,A,easy
Query Optimizer Race,16,Which query is more efficient?,SELECT COUNT(*) FROM orders WHERE status = 'pending';,SELECT SUM(CASE WHEN status = 'pending' THEN 1 ELSE 0 END) FROM orders;,A,A,easy
Query Optimizer Race,17,Which query uses index on composite key (last_name; first_name)?,SELECT * FROM users WHERE last_name = 'Smith';,SELECT * FROM users WHERE first_name = 'John';,A,A,hard
Query Optimizer Race,18,Which query is faster for NULL checks?,SELECT * FROM orders WHERE customer_id IS NULL;,SELECT * FROM orders WHERE customer_id = NULL;,A,A,easy
Query Optimizer Race,19,Which query avoids implicit conversion?,SELECT * FROM orders WHERE order_id = 123;,SELECT * FROM orders WHERE order_id = '123';,A,A,hard
Query Optimizer Race,20,Which query is more efficient for range?,SELECT * FROM orders WHERE created_at > '2024-01-01';,SELECT * FROM orders WHERE created_at >= '2024-01-01 00:00:01';,A,A,easy
Query Optimizer Race,21,Which query benefits from index?,SELECT * FROM products WHERE price > 100 ORDER BY price;,SELECT * FROM products WHERE price > 100 ORDER BY name;,A,A,hard
Query Optimizer Race,22,Which query is faster?,SELECT * FROM orders LIMIT 10;,SELECT TOP 10 * FROM orders;,A,A,easy
Query Optimizer Race,23,Which query avoids subquery?,SELECT * FROM orders WHERE customer_id = (SELECT id FROM customers WHERE email = 'test@example.com');,SELECT o.* FROM orders o JOIN customers c ON o.customer_id = c.id WHERE c.email = 'test@example.com';,B,B,hard
Query Optimizer Race,24,Which query is more efficient?,SELECT * FROM orders WHERE status IN ('pending'; 'processing');,SELECT * FROM orders WHERE status = 'pending' OR status = 'processing';,A,A,easy
Query Optimizer Race,25,Which query uses index better?,SELECT * FROM products WHERE name LIKE 'Apple%';,SELECT * FROM products WHERE name LIKE '%Apple%';,A,A,easy
Query Optimizer Race,26,Which query is faster for aggregation?,SELECT customer_id; COUNT(*) FROM orders GROUP BY customer_id;,SELECT customer_id; (SELECT COUNT(*) FROM orders o2 WHERE o2.customer_id = o1.customer_id) FROM orders o1;,A,A,easy
Query Optimizer Race,27,Which query avoids full scan?,SELECT * FROM orders WHERE created_at = '2024-01-01';,SELECT * FROM orders WHERE DATE(created_at) = '2024-01-01';,A,A,hard
Query Optimizer Race,28,Which query is more efficient?,SELECT * FROM orders WHERE customer_id IS NOT NULL;,SELECT * FROM orders WHERE customer_id <> NULL;,A,A,easy
Query Optimizer Race,29,Which query benefits from index?,SELECT * FROM products WHERE category = 'electronics' AND price > 100;,SELECT * FROM products WHERE price > 100 OR category = 'electronics';,A,A,hard
Query Optimizer Race,30,Which query is faster?,SELECT * FROM orders WHERE id IN (1; 2; 3);,SELECT * FROM orders WHERE id = 1 OR id = 2 OR id = 3;,A,A,easy
Query Optimizer Race,31,Which query avoids sorting?,SELECT * FROM orders WHERE status = 'pending' ORDER BY id DESC;,SELECT * FROM orders WHERE status = 'pending' ORDER BY created_at DESC;,A,A,hard
Query Optimizer Race,32,Which query is more efficient?,SELECT * FROM orders o WHERE o.total > (SELECT AVG(total) FROM orders);,WITH avg_total AS (SELECT AVG(total) as avg FROM orders) SELECT * FROM orders; avg_total WHERE total > avg;,B,B,hard
Query Optimizer Race,33,Which query uses index better?,SELECT * FROM products WHERE price = 99.99;,SELECT * FROM products WHERE ABS(price - 99.99) < 0.01;,A,A,hard
Query Optimizer Race,34,Which query is faster?,SELECT * FROM orders WHERE customer_id = 123 AND status = 'pending';,SELECT * FROM orders WHERE status = 'pending' AND customer_id = 123;,A,A,easy
Query Optimizer Race,35,Which query avoids filesort?,SELECT * FROM orders WHERE status = 'pending' ORDER BY id LIMIT 10;,SELECT * FROM orders ORDER BY created_at LIMIT 10;,A,A,hard
Query Optimizer Race,36,Which query is more efficient?,SELECT DISTINCT customer_id FROM orders;,SELECT customer_id FROM orders GROUP BY customer_id;,A,A,easy
Query Optimizer Race,37,Which query benefits from index?,SELECT COUNT(*) FROM orders WHERE created_at > '2024-01-01';,SELECT COUNT(*) FROM orders WHERE YEAR(created_at) = 2024;,A,A,hard
Query Optimizer Race,38,Which query is faster?,SELECT * FROM orders WHERE status = 'pending' LIMIT 100;,SELECT * FROM orders LIMIT 100;,B,B,easy
Query Optimizer Race,39,Which query avoids table scan?,SELECT * FROM orders WHERE customer_id IN (SELECT id FROM customers WHERE active = 1);,SELECT o.* FROM orders o WHERE EXISTS (SELECT 1 FROM customers c WHERE c.id = o.customer_id AND c.active = 1);,B,B,hard
Query Optimizer Race,40,Which query is more efficient?,SELECT * FROM orders WHERE total BETWEEN 100 AND 200;,SELECT * FROM orders WHERE total >= 100 AND total <= 200;,A,A,easy
Query Optimizer Race,41,Which query uses index better?,SELECT * FROM products WHERE category = 'electronics' ORDER BY price;,SELECT * FROM products ORDER BY price WHERE category = 'electronics';,A,A,hard
Query Optimizer Race,42,Which query is faster?,SELECT * FROM orders WHERE customer_id = 123;,SELECT * FROM orders WHERE customer_id LIKE '123';,A,A,easy
Query Optimizer Race,43,Which query avoids implicit conversion?,SELECT * FROM orders WHERE created_at = '2024-01-01';,SELECT * FROM orders WHERE created_at = 20240101;,A,A,hard
Query Optimizer Race,44,Which query is more efficient?,SELECT * FROM orders WHERE status != 'cancelled';,SELECT * FROM orders WHERE status IN ('pending'; 'processing'; 'completed');,B,B,hard
Query Optimizer Race,45,Which query benefits from index?,SELECT * FROM products WHERE name = 'iPhone';,SELECT * FROM products WHERE LOWER(name) = 'iphone';,A,A,easy
Query Optimizer Race,46,Which query is faster?,SELECT * FROM orders o JOIN customers c ON o.customer_id = c.id WHERE c.country = 'USA';,SELECT * FROM orders WHERE customer_id IN (SELECT id FROM customers WHERE country = 'USA');,A,A,hard
Query Optimizer Race,47,Which query avoids full scan?,SELECT * FROM orders WHERE id > 1000 AND id < 2000;,SELECT * FROM orders WHERE id BETWEEN 1000 AND 2000;,B,B,easy
Query Optimizer Race,48,Which query is more efficient?,SELECT * FROM orders WHERE customer_id IS NOT NULL AND status = 'pending';,SELECT * FROM orders WHERE status = 'pending' AND customer_id IS NOT NULL;,A,A,easy
Query Optimizer Race,49,Which query uses index better?,SELECT * FROM products WHERE price > 100 AND category = 'electronics';,SELECT * FROM products WHERE category = 'electronics' AND price > 100;,B,B,hard
Query Optimizer Race,50,Which query is faster?,SELECT * FROM orders WHERE created_at >= CURRENT_DATE;,SELECT * FROM orders WHERE DATE(created_at) = CURRENT_DATE;,A,A,hard
